,Enteroendocrine,Stem,Paneth,Tuft,Goblet,TA,Early enterocyte precursor cell,Late enterocyte precursor cell,Enteroendocrine precursor cell
199,Clps,,Npc2,Tuba1a,Rnase4,,,,Pcyox1l
200,Clta,,Nr6a1,Txn1,Rnasek,,,,Pde7a
201,Cnksr3,,Nupr1,Ube2r2,Rpl10,,,,Pdlim1
202,Cnpy2,,Oat,Ucp2,Rpl10a,,,,Pgam1
203,Cog1,,P4hb,Uqcrq,Rpl11,,,,Pgk1
204,Cox6b1,,Pabpc1,Usf2,Rpl12,,,,Pgm2l1
205,Cpne8,,Papss2,Vav1,Rpl13,,,,Pigr
206,Cpt2,,Pdcd2,Vav3,Rpl13a,,,,Pisd
207,Crip1,,Pdia3,Wsb1,Rpl14,,,,NA
208,Cyp2b10,,Pdlim1,Yipf1,Rpl15,,,,Pkp1
209,Cyp2c29,,Pdxdc1,Zfhx2,Rpl17,,,,Plxnb1
210,Cyp2c65,,Peli1,Zfhx3,Rpl18,,,,Poc1a
211,Cyp2d26,,Pgam1,Zmat4,Rpl18a,,,,Ppib
212,Cyp4f14,,Phlda1,Card19,Rpl21,,,,Ppp1r14b
213,NA,,Pitpnc1,1810046K07Rik,Rpl22,,,,Ppp2ca
214,Dbi,,Pkm,2210016L21Rik,Rpl23,,,,Ppp4r2
215,Dbn1,,Pms1,Acot7,Rpl23a,,,,Pradc1
216,Ddit4,,Pnrc1,Adh1,Rpl27a,,,,Prap1
217,Ddr1,,Polr1d,Agt,Rpl28,,,,Prdx1
218,Ddx24,,Prap1,Aldh2,Rpl29,,,,Prdx2
219,Dmpk,,Prelid1,Alox5,Rpl3,,,,Prom1
220,Dnajc18,,Prpf4b,Alox5ap,Rpl31,,,,Psma3
221,Dpysl2,,Prr15,Arpc5,Rpl31-ps12,,,,Ptma
222,Dpysl5,,Prrc1,Asah1,Rpl32,,,,Ptprf
223,Drap1,,Ptprf,Atp2a3,Rpl35a,,,,Ptprs
224,Drg1,,Ptpro,Avil,Rpl36,,,,Qsox1
225,Dynll1,,Pus7l,Bcl2l14,Rpl36a,,,,R3hdm4
226,NA,,Qsox1,Bmx,Rpl36al,,,,Rab15
227,Enpp3,,Rab3d,Bpgm,Rpl37a,,,,Rabep1
228,NA,,Rasa2,Bub3,Rpl38,,,,Ranbp3
229,Fabp2,,Rbfa,NA,Rpl39,,,,Rap1gap2
230,Fam160a2,,Rbm26,NA,Rpl4,,,,Rap2b
231,Fam213a,,Rbm5,Ccdc28b,Rpl41,,,,Rbfox2
232,Fam222a,,Reg1,Cd24a,Rpl6,,,,Rbm10
233,Fam96b,,Reg4,Cd47,Rpl7,,,,Rbm22
234,Fbxo11,,NA,Coprs,Rpl7a,,,,Rcor2
235,Fbxo32,,Rnase1,Csk,Rpl9,,,,Reg1
236,Fbxw11,,Rnase4,Dclk1,Rplp0,,,,Reg4
237,Fcgbp,,Rnf20,Ethe1,Rplp1,,,,Rfx3
238,Fgd2,,Rnf216,Fam221a,Rpn2,,,,Rhou
239,Fgd4,,Rpl12,Ffar3,Rps10,,,,Rin3
240,Fgd6,,Rpl17,Fyb,Rps12,,,,NA
241,Foxo6,,Rpl31-ps12,Galk1,Rps13,,,,Rnase1
242,Fth1,,Rpl5,Gga2,Rps14,,,,Rnase4
243,Fxyd3,,Rpl6,Gimap1,Rps15a,,,,Rnf114
244,Gadd45a,,Rpl7,Gnai2,Rps16,,,,Rnf167
245,Gadd45g,,Rps23,Gng13,Rps17,,,,Rnf41
246,Gapdh,,Rps27a,Gprc5c,Rps18,,,,Rnf6
247,Glis2,,Rps28,Hck,Rps19,,,,Rpl31
248,Glul,,Rps8,Hmx2,Rps2,,,,Rpl37a
249,NA,,Rps9,Hpgds,Rps20,,,,Rybp
250,NA,,Sarnp,Il13ra1,Rps21,,,,S100a6
251,NA,,Scp2,Ildr1,Rps24,,,,NA
252,NA,,NA,Inpp5b,Rps25,,,,Serf2
253,Gm20594,,NA,Inpp5d,Rps26,,,,Sf3a3
254,Gnb2,,NA,Inpp5j,Rps27a,,,,Sfi1
255,Gpd1,,NA,Itpr2,Rps28,,,,Sh3bgrl3
256,Gpi1,,Serf1,Kctd12,Rps29,,,,Shb
257,Gpsm1,,Sfswap,Krt18,Rps3,,,,Sis
258,Gpx1,,Sis,Krt23,Rps3a1,,,,Slc29a1
259,Gpx2,,Slc12a8,Lect2,Rps4x,,,,Slc29a4
260,Grn,,NA,Lima1,Rps5,,,,Slc39a2
261,Grpel2,,NA,Limd2,Rps6,,,,Slc5a1
262,Gse1,,Slc38a1,Lrmp,Rps7,,,,Slc7a5
263,Gsta1,,Slc38a2,Ltc4s,Rps8,,,,Slco4a1
264,Gsta4,,Slc41a1,Ly6g6d,Rps9,,,,Smarca4
265,Gstm1,,Slc5a1,Ly6g6f,Rpsa,,,,Smarcd2
266,Gstm3,,Smim14,Matk,S100a11,,,,Snd1
267,Gsto1,,Smoc2,Mlip,S100g,,,,Snn
268,Gtf2b,,NA,Mocs2,Sdf2l1,,,,Sorcs2
269,Gtf2i,,NA,Myo1b,Sec11c,,,,Sox4
270,Guca2b,,Snx10,Ndufaf3,Sec61b,,,,Sp9
271,H2-K1,,Sox4,Nebl,Sec61g,,,,Spg21
272,H3f3a,,Sox9,Nt5c3,NA,,,,Spink4
273,H3f3b,,Spdef,Pea15a,NA,,,,Spint2
274,Hadh,,Spink4,Pik3cg,NA,,,,Ssh3
275,Hbp1,,Sptlc1,Pik3r5,Sh3pxd2a,,,,St18
276,Hdac2,,Srsf7,Pim3,Sirt2,,,,Steap2
277,Hdac6,,St6galnac2,Pla2g16,Sis,,,,Stxbp1
278,Hepacam2,,Stk40,Pla2g4a,Slc12a8,,,,Syt13
279,Hes6,,Stx3,Plcg2,NA,,,,Tbc1d9
280,Hira,,Syne2,Pou2f3,Slc39a7,,,,Tceanc2
281,Hist1h1c,,Syt7,Ppp3ca,Slc5a1,,,,Tcf3
282,NA,,Tax1bp1,Ptgs1,Smim6,,,,Tead1
283,Hnrnpa0,,Tcf4,Ptpn18,NA,,,,Tead2
284,Hoxa5,,Tead2,Ptpn6,Snrpg,,,,Tecpr1
285,Hpcal1,,Tecpr1,Pygl,Snx15,,,,Tecr
286,Hsd11b2,,Tfcp2l1,Rac2,Snx5,,,,Tff3
287,Hunk,,Tff3,Rbm38,Spdef,,,,Tgm5
288,Hyal2,,Tkt,Reep5,NA,,,,Tkt
289,Iffo2,,Tm4sf20,Rgs13,Spink4,,,,Tm4sf20
290,Ifitm2,,Tm4sf5,Rgs2,Ssr2,,,,Tmem129
291,Ift122,,Tmem120b,Sec14l1,Ssr4,,,,Tmem176b
292,Immp1l,,Tmem176b,Sh2d7,Stard10,,,,Tmem44
293,Insm1,,Tmem59,Siglecf,Stc2,,,,Tmem59
294,Jun,,Tmprss2,Skap2,Syngr2,,,,Top1
295,Kdm1a,,Tnfrsf21,Smpx,Tbc1d8,,,,Trappc1
296,Khk,,Top1,Snrnp25,Tff3,,,,Trib1
297,Klc1,,Tpd52,Spib,Tm4sf20,,,,Trit1
298,Krt19,,Tpi1,Tmem141,Tm4sf5,,,,Trp53i11
299,Krt7,,Tpsg1,Tmem176a,Tmed5,,,,Trp53inp1
300,Larp1,,Tpt1,Tmem176b,Tmed9,,,,Trpv6
301,Ldb1,,Trim8,Tmem45b,Tmem141,,,,Tspan5
302,Ldha,,Tspan1,Tmem9,Tmsb10,,,,Ttyh2
303,Lfng,,Tsta3,Trpm5,Tmsb4x,,,,Ttyh3
304,Lgals2,,Ttc39c,Tspan6,Tnfaip8,,,,Tuba1a
305,Litaf,,NA,Tuba1a,Tpd52,,,,Tubb2b
306,Lpar6,,Txn1,Vav1,Tpsg1,,,,Tubb5
307,Lrp5,,Txndc5,Vdac3,Trim33,,,,Txn1
308,Lsm14b,,Ubn1,Zfp428,Tspan1,,,,Txnip
309,Lypd8,,Ucp2,,Tspan8,,,,Ubb
310,Lzts2,,Uqcrq,,Tsta3,,,,Ube2b
311,Map2k1,,Usp22,,Txndc5,,,,Ube2v2
312,Map4k4,,Vmn1r58,,Ucp2,,,,Ucp2
313,NA,,NA,,Ung,,,,Ulk1
314,Marcks,,NA,,Wars,,,,Unc5b
315,Marcksl1,,Zc3h11a,,NA,,,,Usf2
316,Mcfd2,,Zdhhc14,,Wdr60,,,,Utrn
317,Mex3b,,Zfp148,,Xbp1,,,,Vasp
318,Mfng,,Zfp664,,Zc3h4,,,,Vezf1
319,Mgam,,Zkscan14,,Zfp612,,,,Vps37c
320,Mia,,Ang4,,Zfp623,,,,Vwa5b2
321,Mpzl1,,AY761184,,Zg16,,,,Yme1l1
322,Mrfap1,,NA,,Agr2,,,,Zc3h18
323,Mt2,,Defa17,,Arf4,,,,Zfp113
324,Mta1,,Defa21,,Atoh1,,,,Zfp280d
325,Mtch1,,Defa22,,NA,,,,Zfp326
326,Mtif3,,Defa24,,Bace2,,,,Zfp428
327,Mttp,,Defa26,,Bcas1,,,,Zswim6
328,NA,,Defa3,,C1galt1c1,,,,
329,Myt1,,Gm14851,,Calr,,,,
330,Nelfb,,NA,,Capn9,,,,
331,Neo1,,Gm15292,,Ccl9,,,,
332,Neurog3,,Lyz1,,Clca1,,,,
333,Nono,,Mptx2,,Cmpk1,,,,
334,Numbl,,,,Cmtm7,,,,
335,Nup88,,,,Creb3l1,,,,
336,Oat,,,,Creb3l4,,,,
337,Osbpl5,,,,Creld2,,,,
338,P4hb,,,,Dap,,,,
339,Papss2,,,,Ddost,,,,
340,Pard3b,,,,Dnajc10,,,,
341,Pcyox1l,,,,Ergic1,,,,
342,Pde7a,,,,Ern2,,,,
343,Pdlim1,,,,Fcgbp,,,,
344,Pgam1,,,,Fkbp11,,,,
345,Pgk1,,,,Foxa3,,,,
346,Pgm2l1,,,,Gale,,,,
347,Pigr,,,,Galnt12,,,,
348,Pisd,,,,Galnt7,,,,
349,NA,,,,Gcnt3,,,,
350,Pkp1,,,,Guca2a,,,,
351,Plxnb1,,,,Guk1,,,,
352,Poc1a,,,,Hgfac,,,,
353,Ppib,,,,Hpd,,,,
354,Ppp1r14b,,,,Kdelr2,,,,
355,Ppp2ca,,,,Kdelr3,,,,
356,Ppp4r2,,,,Klf4,,,,
357,Pradc1,,,,Klk1,,,,
358,Prap1,,,,Krtcap2,,,,
359,Prdx1,,,,Lrrc26,,,,
360,Prdx2,,,,Manf,,,,
361,Prom1,,,,Muc2,,,,
362,Psma3,,,,Nans,,,,
363,Ptma,,,,Oit1,,,,
364,Ptprf,,,,Ostc,,,,
365,Ptprs,,,,Pdia3,,,,
366,Qsox1,,,,Pdia5,,,,
367,R3hdm4,,,,Pdia6,,,,
368,Rab15,,,,Pla2g10,,,,
369,Rabep1,,,,Qsox1,,,,
370,Ranbp3,,,,Ramp1,,,,
371,Rap1gap2,,,,Rep15,,,,
372,Rap2b,,,,S100a6,,,,
373,Rbfox2,,,,Scin,,,,
374,Rbm10,,,,Sdf2l1,,,,
375,Rbm22,,,,Sec61b,,,,
376,Rcor2,,,,NA,,,,
377,Reg1,,,,Serp1,,,,
378,Reg4,,,,Sh3bgrl3,,,,
379,Rfx3,,,,Slc12a8,,,,
380,Rhou,,,,Slc50a1,,,,
381,Rin3,,,,Smim14,,,,
382,NA,,,,Smim6,,,,
383,Rnase1,,,,Spdef,,,,
384,Rnase4,,,,Spink4,,,,
385,Rnf114,,,,Ssr2,,,,
386,Rnf167,,,,Ssr4,,,,
387,Rnf41,,,,Stard3nl,,,,
388,Rnf6,,,,Tff3,,,,
389,Rpl31,,,,Tm9sf3,,,,
390,Rpl37a,,,,Tmed3,,,,
391,Rybp,,,,Tmed9,,,,
392,S100a6,,,,Tmsb10,,,,
393,NA,,,,Tnfaip8,,,,
394,Serf2,,,,Tpd52,,,,
395,Sf3a3,,,,Tpsg1,,,,
396,Sfi1,,,,Tram1,,,,
397,Sh3bgrl3,,,,Tspan13,,,,
398,Shb,,,,Tsta3,,,,
399,Sis,,,,Ttc39a,,,,
400,Slc29a1,,,,Txndc5,,,,
401,Slc29a4,,,,Uap1,,,,
402,Slc39a2,,,,NA,,,,
403,Slc5a1,,,,Wars,,,,
404,Slc7a5,,,,Xbp1,,,,
405,Slco4a1,,,,Zg16,,,,
406,Smarca4,,,,,,,,
407,Smarcd2,,,,,,,,
408,Snd1,,,,,,,,
409,Snn,,,,,,,,
410,Sorcs2,,,,,,,,
411,Sox4,,,,,,,,
412,Sp9,,,,,,,,
413,Spg21,,,,,,,,
414,Spink4,,,,,,,,
415,Spint2,,,,,,,,
416,Ssh3,,,,,,,,
417,St18,,,,,,,,
418,Steap2,,,,,,,,
419,Stxbp1,,,,,,,,
420,Syt13,,,,,,,,
421,Tbc1d9,,,,,,,,
422,Tceanc2,,,,,,,,
423,Tcf3,,,,,,,,
424,Tead1,,,,,,,,
425,Tead2,,,,,,,,
426,Tecpr1,,,,,,,,
427,Tecr,,,,,,,,
428,Tff3,,,,,,,,
429,Tgm5,,,,,,,,
430,Tkt,,,,,,,,
431,Tm4sf20,,,,,,,,
432,Tmem129,,,,,,,,
433,Tmem176b,,,,,,,,
434,Tmem44,,,,,,,,
435,Tmem59,,,,,,,,
436,Top1,,,,,,,,
437,Trappc1,,,,,,,,
438,Trib1,,,,,,,,
439,Trit1,,,,,,,,
440,Trp53i11,,,,,,,,
441,Trp53inp1,,,,,,,,
442,Trpv6,,,,,,,,
443,Tspan5,,,,,,,,
444,Ttyh2,,,,,,,,
445,Ttyh3,,,,,,,,
446,Tuba1a,,,,,,,,
447,Tubb2b,,,,,,,,
448,Tubb5,,,,,,,,
449,Txn1,,,,,,,,
450,Txnip,,,,,,,,
451,Ubb,,,,,,,,
452,Ube2b,,,,,,,,
453,Ube2v2,,,,,,,,
454,Ucp2,,,,,,,,
455,Ulk1,,,,,,,,
456,Unc5b,,,,,,,,
457,Usf2,,,,,,,,
458,Utrn,,,,,,,,
459,Vasp,,,,,,,,
460,Vezf1,,,,,,,,
461,Vps37c,,,,,,,,
462,Vwa5b2,,,,,,,,
463,Yme1l1,,,,,,,,
464,Zc3h18,,,,,,,,
465,Zfp113,,,,,,,,
466,Zfp280d,,,,,,,,
467,Zfp326,,,,,,,,
468,Zfp428,,,,,,,,
469,Zswim6,,,,,,,,
470,Reg4,,,,,,,,
471,Anxa6,,,,,,,,
472,Aplp1,,,,,,,,
473,Bex2,,,,,,,,
474,Cacna2d1,,,,,,,,
475,Cck,,,,,,,,
476,Celf3,,,,,,,,
477,Chgb,,,,,,,,
478,Cnot6l,,,,,,,,
479,Cplx2,,,,,,,,
480,Fabp5,,,,,,,,
481,Fam183b,,,,,,,,
482,Fev,,,,,,,,
483,Gfra3,,,,,,,,
484,Gng4,,,,,,,,
485,Gpx3,,,,,,,,
486,Insm1,,,,,,,,
487,Isl1,,,,,,,,
488,Maged1,,,,,,,,
489,Neurod1,,,,,,,,
490,Neurog3,,,,,,,,
491,NA,,,,,,,,
492,Nkx2-2,,,,,,,,
493,Olfm1,,,,,,,,
494,Pax6,,,,,,,,
495,Pcsk1,,,,,,,,
496,Pcsk1n,,,,,,,,
497,Prnp,,,,,,,,
498,Resp18,,,,,,,,
499,Riiad1,,,,,,,,
500,Rimbp2,,,,,,,,
501,Rph3al,,,,,,,,
502,Scg3,,,,,,,,
503,Scg5,,,,,,,,
504,Scgn,,,,,,,,
505,Slc39a2,,,,,,,,
506,Tac1,,,,,,,,
507,Tox3,,,,,,,,
508,Trp53i11,,,,,,,,
509,Vim,,,,,,,,
510,Vwa5b2,,,,,,,,
